UID        PID  PPID  C STIME TTY          TIME CMD
root       107     2  0 13:13 ?        00:00:00 [rcuob/34]
root       108     2  0 13:13 ?        00:00:00 [rcuob/35]
root       109     2  0 13:13 ?        00:00:00 [rcuob/36]
root       110     2  0 13:13 ?        00:00:00 [rcuob/37]
root       111     2  0 13:13 ?        00:00:00 [rcuob/38]
root       112     2  0 13:13 ?        00:00:00 [rcuob/39]
root       113     2  0 13:13 ?        00:00:00 [rcuob/40]
root       114     2  0 13:13 ?        00:00:00 [rcuob/41]
root       115     2  0 13:13 ?        00:00:00 [rcuob/42]
root       116     2  0 13:13 ?        00:00:00 [rcuob/43]
root       117     2  0 13:13 ?        00:00:00 [rcuob/44]
root       118     2  0 13:13 ?        00:00:00 [rcuob/45]
root       119     2  0 13:13 ?        00:00:00 [rcuob/46]
root       120     2  0 13:13 ?        00:00:00 [rcuob/47]
root       121     2  0 13:13 ?        00:00:00 [rcuob/48]
root       122     2  0 13:13 ?        00:00:00 [rcuob/49]
root       123     2  0 13:13 ?        00:00:00 [rcuob/50]
root       124     2  0 13:13 ?        00:00:00 [rcuob/51]
root       125     2  0 13:13 ?        00:00:00 [rcuob/52]
root       126     2  0 13:13 ?        00:00:00 [rcuob/53]
root       127     2  0 13:13 ?        00:00:00 [rcuob/54]
root       128     2  0 13:13 ?        00:00:00 [rcuob/55]
root       129     2  0 13:13 ?        00:00:00 [rcuob/56]
root       130     2  0 13:13 ?        00:00:00 [rcuob/57]
root       131     2  0 13:13 ?        00:00:00 [rcuob/58]
root       132     2  0 13:13 ?        00:00:00 [rcuob/59]
root       133     2  0 13:13 ?        00:00:00 [rcuob/60]
root       134     2  0 13:13 ?        00:00:00 [rcuob/61]
root       135     2  0 13:13 ?        00:00:00 [rcuob/62]
root       136     2  0 13:13 ?        00:00:00 [rcuob/63]
root       137     2  0 13:13 ?        00:00:01 [migration/0]
root       138     2  0 13:13 ?        00:00:00 [watchdog/0]
root       139     2  0 13:13 ?        00:00:00 [watchdog/1]
root       140     2  0 13:13 ?        00:00:00 [migration/1]
root       141     2  0 13:13 ?        00:00:00 [ksoftirqd/1]
root       143     2  0 13:13 ?        00:00:00 [kworker/1:0H]
root       144     2  0 13:13 ?        00:00:00 [khelper]
root       145     2  0 13:13 ?        00:00:00 [kdevtmpfs]
root       146     2  0 13:13 ?        00:00:00 [netns]
root       147     2  0 13:13 ?        00:00:00 [writeback]
root       148     2  0 13:13 ?        00:00:00 [kintegrityd]
root       149     2  0 13:13 ?        00:00:00 [bioset]
root       150     2  0 13:13 ?        00:00:00 [kworker/u129:0]
root       151     2  0 13:13 ?        00:00:00 [kblockd]
root       152     2  0 13:13 ?        00:00:00 [ata_sff]
root       153     2  0 13:13 ?        00:00:00 [khubd]
root       154     2  0 13:13 ?        00:00:00 [md]
root       155     2  0 13:13 ?        00:00:00 [devfreq_wq]
root       156     2  0 13:13 ?        00:00:00 [kworker/1:1]
root       158     2  0 13:13 ?        00:00:00 [khungtaskd]
root       159     2  0 13:13 ?        00:00:00 [kswapd0]
root       160     2  0 13:13 ?        00:00:00 [ksmd]
root       161     2  0 13:13 ?        00:00:00 [khugepaged]
root       162     2  0 13:13 ?        00:00:00 [fsnotify_mark]
root       163     2  0 13:13 ?        00:00:00 [ecryptfs-kthrea]
root       164     2  0 13:13 ?        00:00:00 [crypto]
root       176     2  0 13:13 ?        00:00:00 [kthrotld]
root       178     2  0 13:13 ?        00:00:00 [scsi_eh_0]
root       179     2  0 13:13 ?        00:00:00 [scsi_eh_1]
root       201     2  0 13:13 ?        00:00:00 [deferwq]
root       202     2  0 13:13 ?        00:00:00 [charger_manager]
root       203     2  0 13:13 ?        00:00:00 [kworker/1:2]
root       249     2  0 13:13 ?        00:00:00 [mpt_poll_0]
root       250     2  0 13:13 ?        00:00:00 [mpt/0]
root       252     2  0 13:13 ?        00:00:00 [scsi_eh_2]
root       253     2  0 13:13 ?        00:00:00 [scsi_eh_3]
root       254     2  0 13:13 ?        00:00:00 [scsi_eh_4]
root       255     2  0 13:13 ?        00:00:00 [scsi_eh_5]
root       256     2  0 13:13 ?        00:00:00 [scsi_eh_6]
root       257     2  0 13:13 ?        00:00:00 [scsi_eh_7]
root       258     2  0 13:13 ?        00:00:00 [scsi_eh_8]
root       259     2  0 13:13 ?        00:00:00 [scsi_eh_9]
root       260     2  0 13:13 ?        00:00:00 [scsi_eh_10]
root       261     2  0 13:13 ?        00:00:00 [scsi_eh_11]
root       262     2  0 13:13 ?        00:00:00 [scsi_eh_12]
root       263     2  0 13:13 ?        00:00:00 [scsi_eh_13]
root       264     2  0 13:13 ?        00:00:00 [scsi_eh_14]
root       265     2  0 13:13 ?        00:00:00 [scsi_eh_15]
root       266     2  0 13:13 ?        00:00:00 [scsi_eh_16]
root       267     2  0 13:13 ?        00:00:00 [scsi_eh_17]
root       268     2  0 13:13 ?        00:00:00 [scsi_eh_18]
root       269     2  0 13:13 ?        00:00:00 [scsi_eh_19]
root       270     2  0 13:13 ?        00:00:00 [scsi_eh_20]
root       271     2  0 13:13 ?        00:00:00 [scsi_eh_21]
root       272     2  0 13:13 ?        00:00:00 [scsi_eh_22]
root       273     2  0 13:13 ?        00:00:00 [scsi_eh_23]
root       274     2  0 13:13 ?        00:00:00 [scsi_eh_24]
root       275     2  0 13:13 ?        00:00:00 [scsi_eh_25]
root       276     2  0 13:13 ?        00:00:00 [scsi_eh_26]
root       277     2  0 13:13 ?        00:00:00 [scsi_eh_27]
root       278     2  0 13:13 ?        00:00:00 [scsi_eh_28]
root       279     2  0 13:13 ?        00:00:00 [scsi_eh_29]
root       280     2  0 13:13 ?        00:00:00 [scsi_eh_30]
root       281     2  0 13:13 ?        00:00:00 [scsi_eh_31]
root       306     2  0 13:13 ?        00:00:00 [kworker/u128:28]
root       310     2  0 13:13 ?        00:00:00 [kpsmoused]
root       311     2  0 13:13 ?        00:00:00 [scsi_eh_32]
root       322     2  0 13:13 ?        00:00:00 [jbd2/sda1-8]
root       323     2  0 13:13 ?        00:00:00 [ext4-rsv-conver]
root       443     1  0 13:14 ?        00:00:00 upstart-udev-bridge --daemon
root       451     1  0 13:14 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root       488     2  0 13:14 ?        00:00:00 [ttm_swap]
root       503     2  0 13:14 ?        00:00:00 [hci0]
root       504     2  0 13:14 ?        00:00:00 [hci0]
root       506     2  0 13:14 ?        00:00:00 [kworker/u129:2]
root       622     1  0 13:14 ?        00:00:00 upstart-socket-bridge --daemon
message+   839     1  0 13:14 ?        00:00:00 dbus-daemon --system --fork
root       855     1  0 13:14 ?        00:00:00 upstart-file-bridge --daemon
root       873     1  0 13:14 ?        00:00:00 /usr/sbin/ModemManager
root       874     1  0 13:14 ?        00:00:00 /usr/sbin/bluetoothd
root       887     2  0 13:14 ?        00:00:00 [krfcommd]
syslog     911     1  0 13:14 ?        00:00:00 rsyslogd
